CWE:581;"Object ModelViolation: Just One ofEquals and Hashcode";"PMD.Basic.OverrideBothEqualsAndHashcode";"Override Both Equals AndHashcode";closely mapped
CWE:584;"Return Inside FinallyBlock";PMD.Basic.ReturnFromFinallyBlock;Return From Finally Block;closely mapped
CWE:585;"Empty SynchronizedBlock";PMD.Empty-Code.EmptySynchronizedBlock;Empty Synchronized Block;closely mapped
CWE:586;"Explicit Call toFinalize()";PMD.Finalizer.AvoidCallingFinalize;Avoid Calling Finalize;closely mapped
CWE:595;"Comparison of ObjectReferences Instead of";"PMD.Design.CompareObjectsWithEquals";Compare Objects With Equals;closely mapped
CWE:597;"Use of WrongOperator in StringComparison";"PMD.String-and-StringBuffer.UseEqualsToCompareStrings";Use Equals To Compare Strings;closely mapped
CWE:609;"Double-CheckedLocking";"PMD.Basic.DoubleCheckedLocking";Double Checked Locking;closely mapped
CWE:681;"Incorrect Conversion between Numeric Types";"PMD.Basic.AvoidDecimalLiteralsInBigDecimalConstructor";Avoid Decimal Literals In Big Decimal Constructor;closely mapped
CWE:686;"Function Call With Incorrect Argument Type";"PMD.Basic.ClassCastExceptionWithToArray";Class Cast Exception With To Array;closely mapped
CWE:696;"Incorrect Behavior Order";PMD.Basic.MisplacedNullCheck;Misplaced Null Check;closely mapped
CWE:767;"Access to Critical Private Variable via Public Method";"PMD.Security-Code-Guidelines.MethodReturnsInternalArray";Method Returns Internal Array;closely mapped
CWE:19;"UseLocaleWithCaseConversions"
CWE:755;"EmptyIfStmt"
