"CWE-ID","Project Name","Method-ID","Fix Commit","Badness","Tool-ID","Tool result","Size","TP","TN","FP","FN"
"CWE-613","keycloak","services/src/main/java/org/keycloak/forms/account/freemarker/model/UrlBean.java$getSessionsLogoutUrl","9b75b603e3a5f5ba6deff13cbb45b070bf2d2239","false","vcg","[??]","2","??","??","??","??"
"CWE-613","keycloak","services/src/main/java/org/keycloak/forms/account/freemarker/model/UrlBean.java$getTotpRemoveUrl","9b75b603e3a5f5ba6deff13cbb45b070bf2d2239","false","vcg","[??]","2","??","??","??","??"
"CWE-212","ovirt-engine","backend/manager/modules/vdsbroker/src/main/java/org/ovirt/engine/core/vdsbroker/vdsbroker/GetDeviceListVDSCommand.java$parseLun","d0e33ace71b7603450fc1aa7725f53dbc545831","true","vcg","[??]","126","??","??","??","??"
"CWE-200","jenkins","core/src/main/java/hudson/model/ViewDescriptor.java$doAutoCompleteCopyNewItemFrom","6867e4469525d16319b1bae9c840b933fe4e23c4","true","vcg","[??]","18","??","??","??","??"
"CWE-287","shiro","core/src/main/java/org/apache/shiro/realm/ldap/JndiLdapContextFactory.java$getLdapContext","9137e6cc45922b529fb776c6857647a3935471bb","false","vcg","[??]","42","??","??","??","??"
"CWE-20","tomcat","java/org/apache/coyote/http11/InternalNioInputBuffer.java$parseHeader","cdc0a935c2173aff60039a0b85e57a461381107c","false","vcg","[190]","176","False","True","False","False"
"CWE-20","tomcat","java/org/apache/coyote/http11/InternalNioInputBuffer.java$expand","cdc0a935c2173aff60039a0b85e57a461381107c","false","vcg","[190]","13","False","True","False","False"
"CWE-20","tomcat","java/org/apache/coyote/http11/InternalNioInputBuffer.java$doRead","cdc0a935c2173aff60039a0b85e57a461381107c","false","vcg","[190]","14","False","True","False","False"
"CWE-20","tomcat","java/org/apache/coyote/http11/InternalNioInputBuffer.java$parseHeaders","cdc0a935c2173aff60039a0b85e57a461381107c","false","vcg","[190]","33","False","True","False","False"
"CWE-20","tomcat","java/org/apache/coyote/http11/InternalNioInputBuffer.java$readSocket","cdc0a935c2173aff60039a0b85e57a461381107c","false","vcg","[190]","40","False","True","False","False"
"CWE-20","tomcat","java/org/apache/coyote/http11/InternalNioInputBuffer.java$fill","cdc0a935c2173aff60039a0b85e57a461381107c","false","vcg","[]","20","False","True","False","False"
"CWE-20","tomcat","java/org/apache/coyote/http11/InternalNioInputBuffer.java$parseRequestLine","cdc0a935c2173aff60039a0b85e57a461381107c","false","vcg","[190]","179","False","True","False","False"
"CWE-20","tomcat80","java/org/apache/coyote/http11/InternalInputBuffer.java$parseRequestLine","779d5d34e68e50d2f721897050b147106992f566","false","vcg","[190]","173","False","True","False","False"
"CWE-20","tomcat80","java/org/apache/coyote/http11/InternalInputBuffer.java$parseHeader","779d5d34e68e50d2f721897050b147106992f566","false","vcg","[190]","159","False","True","False","False"
"CWE-384","jetty.project","jetty-server/src/main/java/org/eclipse/jetty/server/session/FileSessionDataStore.java$doStop","a0b8321ef452dddff9bc6c14e3ac0108239bfa2c","true","vcg","[??]","4","??","??","??","??"
"CWE-384","jetty.project","jetty-server/src/main/java/org/eclipse/jetty/server/session/FileSessionDataStore.java$save","a0b8321ef452dddff9bc6c14e3ac0108239bfa2c","true","vcg","[??]","22","??","??","??","??"
"CWE-384","jetty.project","jetty-server/src/main/java/org/eclipse/jetty/server/session/FileSessionDataStore.java$getIdFromFile","a0b8321ef452dddff9bc6c14e3ac0108239bfa2c","true","vcg","[??]","7","??","??","??","??"
"CWE-384","jetty.project","jetty-server/src/main/java/org/eclipse/jetty/server/session/FileSessionDataStore.java$match","a0b8321ef452dddff9bc6c14e3ac0108239bfa2c","true","vcg","[??]","11","??","??","??","??"
"CWE-384","jetty.project","jetty-server/src/main/java/org/eclipse/jetty/server/session/FileSessionDataStore.java$delete","a0b8321ef452dddff9bc6c14e3ac0108239bfa2c","true","vcg","[??]","14","??","??","??","??"
"CWE-384","jetty.project","jetty-server/src/main/java/org/eclipse/jetty/server/session/FileSessionDataStore.java$initializeStore","a0b8321ef452dddff9bc6c14e3ac0108239bfa2c","true","vcg","[??]","7","??","??","??","??"
"CWE-384","jetty.project","jetty-server/src/main/java/org/eclipse/jetty/server/session/FileSessionDataStore.java$getFile","a0b8321ef452dddff9bc6c14e3ac0108239bfa2c","true","vcg","[??]","20","??","??","??","??"
"CWE-384","jetty.project","jetty-server/src/main/java/org/eclipse/jetty/server/session/FileSessionDataStore.java$load","a0b8321ef452dddff9bc6c14e3ac0108239bfa2c","true","vcg","[??]","48","??","??","??","??"
"CWE-384","jetty.project","jetty-server/src/main/java/org/eclipse/jetty/server/session/FileSessionDataStore.java$getIdWithContextFromFile","a0b8321ef452dddff9bc6c14e3ac0108239bfa2c","true","vcg","[??]","7","??","??","??","??"
"CWE-384","jetty.project","jetty-server/src/main/java/org/eclipse/jetty/server/session/FileSessionDataStore.java$doStore","a0b8321ef452dddff9bc6c14e3ac0108239bfa2c","true","vcg","[??]","24","??","??","??","??"
"CWE-384","jetty.project","jetty-server/src/main/java/org/eclipse/jetty/server/session/FileSessionDataStore.java$doGetExpired","a0b8321ef452dddff9bc6c14e3ac0108239bfa2c","true","vcg","[??]","86","??","??","??","??"
"CWE-384","jetty.project","jetty-server/src/main/java/org/eclipse/jetty/server/session/FileSessionDataStore.java$exists","a0b8321ef452dddff9bc6c14e3ac0108239bfa2c","true","vcg","[??]","13","??","??","??","??"
"CWE-384","jetty.project","jetty-server/src/main/java/org/eclipse/jetty/server/session/FileSessionDataStore.java$getIdWithContext","a0b8321ef452dddff9bc6c14e3ac0108239bfa2c","true","vcg","[??]","3","??","??","??","??"
"CWE-20","cxf-fediz","services/idp/src/main/java/org/apache/cxf/fediz/service/idp/metadata/ServiceMetadataWriter.java$getMetaData","f65c961ea31e3c1851daba8e7e49fc37bbf77b19","false","vcg","[]","55","False","True","False","False"
"CWE-310","bc-java","core/src/main/java/org/bouncycastle/math/ec/custom/sec/SecP256K1Curve.java$SecP256K1Curve","5cb2f0578e6ec8f0d67e59d05d8c4704d8e05f83","false","vcg","[??]","11","??","??","??","??"
"CWE-611","lucene-solr","solr/core/src/java/org/apache/solr/schema/AbstractEnumField.java$EnumMapping","e5407c5a9710247e5f728aae36224a245a51f0b","false","vcg","[??]","75","??","??","??","??"
"CWE-310","bc-java","prov/src/main/java/org/bouncycastle/jcajce/provider/asymmetric/dh/BCDHPublicKey.java$BCDHPublicKey","413b42f4d770456508585c830cfcde95f9b0e93b","false","vcg","[??]","55","??","??","??","??"
"CWE-863","geode","geode-core/src/main/java/org/apache/geode/management/internal/cli/functions/AlterRuntimeConfigFunction.java$getRequiredPermissions","aa469239860778eb46e09dd7b390aee08f152480","true","vcg","[??]","3","??","??","??","??"
"CWE-22","tomcat","java/org/apache/catalina/connector/CoyoteAdapter.java$postParseRequest","1735d7f55094c3775c7d94e4f8568336dbe1a738","false","vcg","[Comment Indicates Potentially Unfinished Code, 190]","158","False","True","False","False"
"CWE-22","tomcat","java/org/apache/catalina/connector/CoyoteAdapter.java$normalize","1735d7f55094c3775c7d94e4f8568336dbe1a738","false","vcg","[190]","98","False","True","False","False"
"CWE-74","java-cas-client","cas-client-core/src/main/java/org/jasig/cas/client/validation/AbstractUrlBasedTicketValidator.java$constructValidationUrl","ab6cbdc3daa451b4fef89c0bd0f4e6568f3aa9ef","false","vcg","[??]","46","??","??","??","??"
"CWE-20","tomcat","java/org/apache/coyote/http11/Http11Protocol.java$createProcessor","d6a9898125f34e593de426e8c7dabb0f224fc00f","true","vcg","[]","23","False","False","False","True"
"CWE-287","spring-security","cas/src/main/java/org/springframework/security/cas/web/authentication/DefaultServiceAuthenticationDetails.java$createArtifactPattern","2cb99f079152ac05cee5c90457c7feb3bb2de55","true","vcg","[??]","3","??","??","??","??"
"CWE-287","spring-security","cas/src/main/java/org/springframework/security/cas/web/authentication/DefaultServiceAuthenticationDetails.java$DefaultServiceAuthenticationDetails","2cb99f079152ac05cee5c90457c7feb3bb2de55","true","vcg","[??]","6","??","??","??","??"
"CWE-20","core-1","impl/src/main/java/org/richfaces/webapp/PushHandlerFilter.java$doFilter","8131f15003f5bec73d475d2b724472e4b87d0757","false","vcg","[501, 614]","43","False","True","False","False"
"CWE-552","spring-framework","spring-web/src/main/java/org/springframework/web/util/WebUtils.java$extractFullFilenameFromUrlPath","2bd1daa75ee0b8ec33608ca6ab065ef3e1815543","false","vcg","[??]","12","??","??","??","??"
"CWE-863","spring-security","config/src/main/java/org/springframework/security/config/web/server/ServerHttpSecurity.java$build","fed15f2b01b763158f6650afa13059203366974","false","vcg","[??]","57","??","??","??","??"
"CWE-19","camel","components/camel-http4/src/main/java/org/apache/camel/component/http4/HttpProducer.java$createRequestEntity","7e28d0af471ea992eb74807a4abd1626b88d678a","true","vcg","[??]","90","??","??","??","??"
"CWE-19","camel","components/camel-http4/src/main/java/org/apache/camel/component/http4/HttpProducer.java$extractResponseBody","7e28d0af471ea992eb74807a4abd1626b88d678a","true","vcg","[??]","35","??","??","??","??"
"CWE-287","hive","ql/src/java/org/apache/hadoop/hive/ql/Driver.java$doAuthorization","98f933f269e6b528ef84912b3d701ca3272ec04b","true","vcg","[??]","151","??","??","??","??"
"CWE-287","hive","ql/src/java/org/apache/hadoop/hive/ql/Driver.java$getHivePrivObjects","98f933f269e6b528ef84912b3d701ca3272ec04b","true","vcg","[??]","62","??","??","??","??"
"CWE-863","tomcat","java/org/apache/catalina/core/NamingContextListener.java$removeResourceLink","d6b5600afe75e1086dd564344e1d085966e4237d","false","vcg","[??]","9","??","??","??","??"
"CWE-863","tomcat","java/org/apache/catalina/core/NamingContextListener.java$lifecycleEvent","d6b5600afe75e1086dd564344e1d085966e4237d","false","vcg","[??]","126","??","??","??","??"
"CWE-863","tomcat","java/org/apache/catalina/core/NamingContextListener.java$addResourceLink","d6b5600afe75e1086dd564344e1d085966e4237d","false","vcg","[??]","28","??","??","??","??"
"CWE-264","hibernate-validator","engine/src/main/java/org/hibernate/validator/internal/xml/MetaConstraintBuilder.java$getPayload","e8c42b689df8c6752d635d02c6518da3fece3870","true","vcg","[]","17","False","False","False","True"
"CWE-264","hibernate-validator","engine/src/main/java/org/hibernate/validator/internal/xml/MetaConstraintBuilder.java$convertStringToReturnType","e8c42b689df8c6752d635d02c6518da3fece3870","true","vcg","[]","76","False","False","False","True"
"CWE-264","hibernate-validator","engine/src/main/java/org/hibernate/validator/internal/xml/MetaConstraintBuilder.java$getAnnotationParameterType","e8c42b689df8c6752d635d02c6518da3fece3870","true","vcg","[]","6","False","False","False","True"
"CWE-264","hibernate-validator","engine/src/main/java/org/hibernate/validator/internal/xml/MetaConstraintBuilder.java$getGroups","e8c42b689df8c6752d635d02c6518da3fece3870","true","vcg","[]","10","False","False","False","True"
"CWE-264","hibernate-validator","engine/src/main/java/org/hibernate/validator/internal/xml/MetaConstraintBuilder.java$buildMetaConstraint","e8c42b689df8c6752d635d02c6518da3fece3870","true","vcg","[]","45","False","False","False","True"
"CWE-189","tomcat","java/org/apache/tomcat/util/buf/Ascii.java$parseLong","fffd63a3bd3a5475379b7c074820a5463b7663b3","false","vcg","[??]","20","??","??","??","??"
"CWE-20","tomcat","java/org/apache/catalina/connector/CoyoteAdapter.java$log","fd8a579e0e2379a84826b11700adf396e4ed2041","false","vcg","[]","41","False","True","False","False"
"CWE-200","syncope","core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/JPAAnySearchDAO.java$parseOrderBy","7b168c142b09c3b03e39f1449211e7ddf026a14","true","vcg","[??]","60","??","??","??","??"
"CWE-863","geode","geode-lucene/src/main/java/org/apache/geode/cache/lucene/internal/directory/DumpDirectoryFiles.java$optimizeForWrite","740289c61d60256c6270756bc84b9e24b76e4913","true","vcg","[??]","3","??","??","??","??"
"CWE-264","jenkins","core/src/main/java/hudson/model/AbstractProject.java$submit","b6b2a367a7976be80a799c6a49fa6c58d778b50e","true","vcg","[501]","59","False","False","False","True"
"CWE-352","jolokia","agent/core/src/main/java/org/jolokia/http/AgentServlet.java$handle","2d9b168cfbbf5a6d16fa6e8a5b34503e3dc42364","true","vcg","[??]","29","??","??","??","??"
"CWE-502","tomee","container/openejb-core/src/main/java/org/apache/openejb/core/rmi/BlacklistClassResolver.java$contains","58cdbbef9c77ab2b44870f9d606593b49cde76d9","true","vcg","[]","9","False","False","False","True"
"CWE-200","tomcat","java/org/apache/catalina/startup/FailedContext.java$getTldValidation","05c84ff8304a69a30b251f207a7b93c2c882564d","true","vcg","[??]","1","??","??","??","??"
"CWE-94","spring-security-oauth","spring-security-oauth2/src/main/java/org/springframework/security/oauth2/provider/endpoint/WhitelabelApprovalEndpoint.java$getAccessConfirmation","adb1e6d19c681f394c9513799b81b527b0cb007","false","vcg","[??]","19","??","??","??","??"
"CWE-94","spring-security-oauth","spring-security-oauth2/src/main/java/org/springframework/security/oauth2/provider/endpoint/WhitelabelApprovalEndpoint.java$createTemplate","adb1e6d19c681f394c9513799b81b527b0cb007","false","vcg","[??]","47","??","??","??","??"
"CWE-94","spring-security-oauth","spring-security-oauth2/src/main/java/org/springframework/security/oauth2/provider/endpoint/WhitelabelApprovalEndpoint.java$createScopes","adb1e6d19c681f394c9513799b81b527b0cb007","false","vcg","[??]","18","??","??","??","??"
"CWE-79","jenkins","core/src/main/java/hudson/model/Api.java$doXml","df87e12ddcfeafdba6e0de0e07b3e21f8473ece6","true","vcg","[501]","96","False","False","False","True"
"CWE-264","uaa","common/src/main/java/org/cloudfoundry/identity/uaa/oauth/UaaAuthorizationRequestManager.java$createAuthorizationRequest","1368817fe4f4899c06089c940830525bc0327ee","true","vcg","[Comment Indicates Potentially Unfinished Code]","74","False","False","False","True"
"CWE-203","tomcat","java/org/apache/catalina/realm/MemoryRealm.java$authenticate","970e615c7ade6ec6c341470bbc76aa1256353737","true","vcg","[??]","30","??","??","??","??"
"CWE-20","commons-fileupload","src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java$readObject","163a6061fbc077d4b6e4787d26857c2baba495d1","false","vcg","[20, 77, 502, 643]","37","False","False","True","False"
"CWE-264","tomcat","java/org/apache/catalina/session/StoreBase.java$getObjectInputStream","ff1b659dc366a2ad47cd8f7e3544c796a1b15e46","true","vcg","[20, 77, 502]","3","False","False","False","True"
"CWE-613","keycloak","services/src/main/java/org/keycloak/services/resources/account/AccountFormService.java$processTotpRemove","9b75b603e3a5f5ba6deff13cbb45b070bf2d2239","false","vcg","[??]","18","??","??","??","??"
"CWE-613","keycloak","services/src/main/java/org/keycloak/services/resources/account/AccountFormService.java$processSessionsLogout","9b75b603e3a5f5ba6deff13cbb45b070bf2d2239","false","vcg","[??]","29","??","??","??","??"
"CWE-613","keycloak","services/src/main/java/org/keycloak/services/resources/account/AccountFormService.java$processFederatedIdentityUpdate","9b75b603e3a5f5ba6deff13cbb45b070bf2d2239","false","vcg","[??]","95","??","??","??","??"
"CWE-284","shiro","web/src/main/java/org/apache/shiro/web/util/WebUtils.java$getContextPath","b15ab927709ca18ea4a02538be01919a19ab65af","false","vcg","[??]","11","??","??","??","??"
"CWE-470","hibernate-validator","engine/src/main/java/org/hibernate/validator/internal/engine/ValidatorImpl.java$getAccessible","0886e89900d343ea20fde5137c9a3086e6da9ac","false","vcg","[??]","33","??","??","??","??"
"CWE-352","jolokia","agent/jvm/src/main/java/org/jolokia/jvmagent/JolokiaHttpHandler.java$handle","2d9b168cfbbf5a6d16fa6e8a5b34503e3dc42364","false","vcg","[??]","35","??","??","??","??"
"CWE-611","lucene-solr","solr/core/src/java/org/apache/solr/schema/FileExchangeRateProvider.java$reload","e21d4937e0637c7b7949ac463f331da9a42c07f","false","vcg","[??]","49","??","??","??","??"
"CWE-22","tomcat","java/org/apache/catalina/servlets/DefaultServlet.java$serveResource","816552abf6735fa37dfd37c8a7bfbdbd045477e0","false","vcg","[Possible Race Condition, 614, Comment Indicates Potentially Unfinished Code, 190]","348","False","True","False","False"
"CWE-22","tomcat","java/org/apache/catalina/servlets/DefaultServlet.java$getRelativePath","816552abf6735fa37dfd37c8a7bfbdbd045477e0","false","vcg","[Possible Race Condition]","31","False","True","False","False"
"CWE-189","tomcat55","container/catalina/src/share/org/apache/catalina/connector/Request.java$getAttribute","0314fe7743cb72e469cb395ccaaf2793a2ea0355","false","vcg","[??]","47","??","??","??","??"
"CWE-189","tomcat55","container/catalina/src/share/org/apache/catalina/connector/Request.java$parseParameters","0314fe7743cb72e469cb395ccaaf2793a2ea0355","false","vcg","[??]","100","??","??","??","??"
"CWE-200","tomcat","java/org/apache/coyote/ajp/AjpProcessor.java$process","9eae334e9492f55a841e6eb7ab302ff11d03ab21","false","vcg","[??]","148","??","??","??","??"
"CWE-502","camel","components/camel-jacksonxml/src/main/java/org/apache/camel/component/jacksonxml/JacksonXMLDataFormat.java$unmarshal","ccf149c76bf37adc5977dc626e141a14e60b5ae","false","vcg","[]","20","False","True","False","False"
"CWE-502","camel","components/camel-jacksonxml/src/main/java/org/apache/camel/component/jacksonxml/JacksonXMLDataFormat.java$setEnableJacksonTypeConverter","ccf149c76bf37adc5977dc626e141a14e60b5ae","false","vcg","[]","2","False","True","False","False"
"CWE-264","uaa","server/src/main/java/org/cloudfoundry/identity/uaa/oauth/UaaTokenServices.java$createAccessToken","0ed081c9b515014a21954db0dc03a3ddbb30fac","true","vcg","[190]","99","False","False","False","True"
"CWE-20","struts","core/src/main/java/com/opensymphony/xwork2/validator/validators/URLValidator.java$validate","554b9dddb0fbd1e581ef577dd62a7c22955ad0f6","false","vcg","[]","13","False","True","False","False"
"CWE-91","dom4j","src/main/java/org/dom4j/Namespace.java$Namespace","e598eb43d418744c4dbf62f647dd2381c9ce9387","false","vcg","[??]","7","??","??","??","??"
"CWE-284","commons-fileupload","src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java$readObject","388e824518697c2c8f9f83fd964621d9c2f8fc4c","true","vcg","[??]","37","??","??","??","??"
"CWE-200","tomcat","java/org/apache/naming/resources/FileDirContext.java$bind","07dc0ea2745f0afab6415f22b16a29f1c6de5727","true","vcg","[??]","16","??","??","??","??"
"CWE-434","tomcat","java/org/apache/naming/resources/FileDirContext.java$bind","07dc0ea2745f0afab6415f22b16a29f1c6de5727","true","vcg","[??]","16","??","??","??","??"
"CWE-200","tomcat","java/org/apache/naming/resources/FileDirContext.java$file","07dc0ea2745f0afab6415f22b16a29f1c6de5727","true","vcg","[??]","46","??","??","??","??"
"CWE-434","tomcat","java/org/apache/naming/resources/FileDirContext.java$file","07dc0ea2745f0afab6415f22b16a29f1c6de5727","true","vcg","[??]","46","??","??","??","??"
"CWE-200","tomcat","java/org/apache/naming/resources/FileDirContext.java$unbind","07dc0ea2745f0afab6415f22b16a29f1c6de5727","true","vcg","[??]","14","??","??","??","??"
"CWE-434","tomcat","java/org/apache/naming/resources/FileDirContext.java$unbind","07dc0ea2745f0afab6415f22b16a29f1c6de5727","true","vcg","[??]","14","??","??","??","??"
"CWE-200","tomcat","java/org/apache/naming/resources/FileDirContext.java$rename","07dc0ea2745f0afab6415f22b16a29f1c6de5727","true","vcg","[??]","17","??","??","??","??"
"CWE-434","tomcat","java/org/apache/naming/resources/FileDirContext.java$rename","07dc0ea2745f0afab6415f22b16a29f1c6de5727","true","vcg","[??]","17","??","??","??","??"
"CWE-200","tomcat","java/org/apache/naming/resources/FileDirContext.java$rebind","07dc0ea2745f0afab6415f22b16a29f1c6de5727","true","vcg","[??]","66","??","??","??","??"
"CWE-434","tomcat","java/org/apache/naming/resources/FileDirContext.java$rebind","07dc0ea2745f0afab6415f22b16a29f1c6de5727","true","vcg","[??]","66","??","??","??","??"
"CWE-200","tomcat","java/org/apache/naming/resources/FileDirContext.java$createSubcontext","07dc0ea2745f0afab6415f22b16a29f1c6de5727","true","vcg","[??]","14","??","??","??","??"
"CWE-434","tomcat","java/org/apache/naming/resources/FileDirContext.java$createSubcontext","07dc0ea2745f0afab6415f22b16a29f1c6de5727","true","vcg","[??]","14","??","??","??","??"
"CWE-200","tomcat","java/org/apache/naming/resources/FileDirContext.java$doListBindings","07dc0ea2745f0afab6415f22b16a29f1c6de5727","true","vcg","[??]","11","??","??","??","??"
"CWE-434","tomcat","java/org/apache/naming/resources/FileDirContext.java$doListBindings","07dc0ea2745f0afab6415f22b16a29f1c6de5727","true","vcg","[??]","11","??","??","??","??"
"CWE-200","tomcat","java/org/apache/naming/resources/FileDirContext.java$doLookup","07dc0ea2745f0afab6415f22b16a29f1c6de5727","true","vcg","[??]","19","??","??","??","??"
"CWE-434","tomcat","java/org/apache/naming/resources/FileDirContext.java$doLookup","07dc0ea2745f0afab6415f22b16a29f1c6de5727","true","vcg","[??]","19","??","??","??","??"
"CWE-200","tomcat","java/org/apache/naming/resources/FileDirContext.java$doGetAttributes","07dc0ea2745f0afab6415f22b16a29f1c6de5727","true","vcg","[??]","12","??","??","??","??"
"CWE-434","tomcat","java/org/apache/naming/resources/FileDirContext.java$doGetAttributes","07dc0ea2745f0afab6415f22b16a29f1c6de5727","true","vcg","[??]","12","??","??","??","??"
"CWE-19","bc-java","core/src/main/java/org/bouncycastle/math/raw/Nat224.java$square","790642084c4e0cadd47352054f868cc8397e2c00","false","vcg","[??]","137","??","??","??","??"
"CWE-19","camel","components/camel-jetty-common/src/main/java/org/apache/camel/component/jetty/CamelContinuationServlet.java$service","1b1ccbcd94860f6f1d8caf98fb59e6ab7b3940b4","true","vcg","[??]","159","??","??","??","??"
"CWE-470","hibernate-validator","engine/src/main/java/org/hibernate/validator/internal/util/privilegedactions/GetDeclaredField.java$run","0886e89900d343ea20fde5137c9a3086e6da9ac","true","vcg","[??]","10","??","??","??","??"
"CWE-287","spring-security","cas/src/main/java/org/springframework/security/cas/web/authentication/ServiceAuthenticationDetailsSource.java$buildDetails","2cb99f079152ac05cee5c90457c7feb3bb2de55","false","vcg","[??]","6","??","??","??","??"
"CWE-611","spring-integration","spring-integration-xml/src/main/java/org/springframework/integration/xml/xpath/XPathUtils.java$evaluate","59c69ed40d3755ef59f80872e0ea711adbb13620","false","vcg","[??]","46","??","??","??","??"
"CWE-20","oozie","core/src/main/java/org/apache/oozie/command/bundle/BundleSubmitXCommand.java$mergeDefaultConfig","d50df341432df1049c6c85bf2dcda9eb0be04d73","false","vcg","[]","36","False","True","False","False"
"CWE-264","uaa","server/src/main/java/org/cloudfoundry/identity/uaa/oauth/UaaTokenServices.java$createAccessToken","0ed081c9b515014a21954db0dc03a3ddbb30fac","false","vcg","[190]","93","False","True","False","False"
"CWE-264","elasticsearch","src/main/java/org/elasticsearch/repositories/fs/FsRepository.java$FsRepository","f5cfb2a1869d1a52930cbd3138278a6e2c1b22e6","false","vcg","[]","23","False","True","False","False"
"CWE-79","activemq","activemq-web-console/src/main/java/org/apache/activemq/web/controller/CreateSubscriber.java$handleRequest","9dc43f3ffe85c9c56faee235a21f23bfceb865c8","true","vcg","[]","6","False","False","False","True"
"CWE-16","spring-framework","org.springframework.web/src/main/java/org/springframework/web/util/ExpressionEvaluationUtils.java$evaluate","d95cbe23ee462245c5c2482e175f7b2a921b31c","true","vcg","[??]","9","??","??","??","??"
"CWE-16","spring-framework","org.springframework.web/src/main/java/org/springframework/web/util/ExpressionEvaluationUtils.java$evaluateString","d95cbe23ee462245c5c2482e175f7b2a921b31c","true","vcg","[??]","9","??","??","??","??"
"CWE-16","spring-framework","org.springframework.web/src/main/java/org/springframework/web/util/ExpressionEvaluationUtils.java$evaluateInteger","d95cbe23ee462245c5c2482e175f7b2a921b31c","true","vcg","[??]","9","??","??","??","??"
"CWE-16","spring-framework","org.springframework.web/src/main/java/org/springframework/web/util/ExpressionEvaluationUtils.java$evaluateBoolean","d95cbe23ee462245c5c2482e175f7b2a921b31c","true","vcg","[??]","9","??","??","??","??"
"CWE-320","bc-java","core/src/main/java/org/bouncycastle/crypto/engines/IESEngine.java$processBlock","1127131c89021612c6eefa26dbe5714c194e7495","true","vcg","[??]","63","??","??","??","??"
"CWE-79","struts","core/src/main/java/org/apache/struts2/dispatcher/mapper/Restful2ActionMapper.java$getMapping","72471d7075681bea52046645ad7aa34e9c53751e","false","vcg","[190, Comment Indicates Potentially Unfinished Code]","106","False","True","False","False"
"CWE-19","camel","components/camel-http/src/main/java/org/apache/camel/component/http/HttpComponent.java$setHttpConfiguration","735ee02c693964b5f700af13a2adfeae56b848a4","true","vcg","[??]","4","??","??","??","??"
"CWE-668","tomcat80","java/org/apache/catalina/authenticator/FormAuthenticator.java$forwardToLoginPage","6d73b079c55ee25dea1bbd0556bb568a4247dacd","false","vcg","[]","51","False","True","False","False"
"CWE-668","tomcat80","java/org/apache/catalina/authenticator/FormAuthenticator.java$forwardToErrorPage","6d73b079c55ee25dea1bbd0556bb568a4247dacd","false","vcg","[]","29","False","True","False","False"
